a q b lambda
0.0 0.0 0.0 1.9999999799989854
0.007070997136513991 0.0 0.01 2.0000399806156466
0.014141570008058496 0.0 0.02 2.0001599898691595
0.021211294346038093 0.0 0.03 2.000360029980161
0.02827974587461217 0.0 0.04 2.0006401379911565
0.03534650030715848 0.0 0.05 2.001000365773364
0.04241113334273849 0.0 0.06 2.001440780048019
0.04947322066277613 0.0 0.07 2.0019614623967055
0.056532337927535266 0.0 0.08 2.002562509305051
0.06358806077344291 0.0 0.09 2.003244032152731
0.07063996480946848 0.0 0.1 2.0040061572930825
0.07768762561475881 0.0 0.11 2.004849026055924
0.08473061873593932 0.0 0.12 2.0057727947970587
0.09176851968451634 0.0 0.13 2.006777634953729
0.09880090393502391 0.0 0.14 2.007863733080069
0.1058273469231097 0.0 0.15 2.009031290905271
0.11284742404382997 0.0 0.16 2.0102805253977336
0.11986071065048007 0.0 0.17 2.011611668824383
0.12686678205370494 0.0 0.18 2.013024968817568
0.13386521352150862 0.0 0.19 2.01452068843048
0.1408555802778879 0.0 0.2 2.016099106252314
0.14783745750496352 0.0 0.21 2.017760516432792
0.15481042034216486 0.0 0.22 2.0195052288143707
0.1617740438882992 0.0 0.23 2.021333568996342
0.16872790320320644 0.0 0.24 2.023245878431205
0.17567157331054384 0.0 0.25 2.02524251451067
0.18260462919967407 0.0 0.26 2.027323850690716
0.18952664582999762 0.0 0.27 2.029490276576062
0.1964371981351069 0.0 0.28 2.031742198029696
0.20333586102760035 0.0 0.29 2.034080037286404
0.21022220940401296 0.0 0.3 2.0365042330814536
0.21709581815181864 0.0 0.31 2.039015240755925
0.2239562621558406 0.0 0.32 2.041613532393523
0.2308031163074073 0.0 0.33 2.0442995969247995
0.23763595551089545 0.0 0.34 2.0470739402987412
0.2444543546953407 0.0 0.35 2.0499370855816057
0.2512578888239501 0.0 0.36 2.052889573114561
0.2580461329055698 0.0 0.37 2.055931960656416
0.2648186620075863 0.0 0.38 2.0590648235232885
0.271575051267769 0.0 0.39 2.0622887547647357
0.27831487591272686 0.0 0.4 2.065604365257762
0.28503771126858934 0.0 0.41 2.069012283941414
0.291743132781974 0.0 0.42 2.0725131579151954
0.2984307160351843 0.0 0.43 2.076107652645745
0.30510003676825176 0.0 0.44 2.0797964520953314
0.31175067089693465 0.0 0.45 2.0835802589295174
0.3183821945375917 0.0 0.46 2.087459794651086
0.32499418402712665 0.0 0.47 2.0914357998227393
0.33158621595077464 0.0 0.48 2.0955090342067124
0.33815786716837976 0.0 0.49 2.099680276948607
0.34470871484118965 0.0 0.5 2.1039503267761295
0.35123833646126806 0.0 0.51 2.10832000218657
0.3577463098852459 0.0 0.52 2.1127901416047834
0.364232213363415 0.0 0.53 2.117361603620228
0.3706956255800273 0.0 0.54 2.1220352671135703
0.3771361256841117 0.0 0.55 2.1268120315185297
0.3835532933347167 0.0 0.56 2.1316928169398737
0.38994670873419907 0.0 0.57 2.136678564431696
0.39631595267848574 0.0 0.58 2.141770236108201
0.40266060659623415 0.0 0.59 2.1469688154028628
0.4089802526005413 0.0 0.6 2.1522753072136864
0.4152744735339445 0.0 0.61 2.1576907381454764
0.4215428530248038 0.0 0.62 2.163216156655249
0.42778497553749245 0.0 0.63 2.1688526332876967
0.43400042643240755 0.0 0.64 2.17460126083296
0.44018879202380934 0.0 0.65 2.180463154532164
0.44634965964021606 0.0 0.66 2.1864394522807626
0.4524826176925668 0.0 0.67 2.1925313147795915
0.45858725573914466 0.0 0.68 2.198739925743208
0.46466316455742357 0.0 0.69 2.205066492064901
0.4707099362174967 0.0 0.7 2.2115122439917063
0.4767271641556031 0.0 0.71 2.218078435322467
0.4827144432587835 0.0 0.72 2.22476634352566
0.48867136994271715 0.0 0.73 2.231577269945991
0.4945975422418759 0.0 0.74 2.238512539920659
0.5004925598995597 0.0 0.75 2.245573502922238
0.5063560244519576 0.0 0.76 2.252761532778255
0.5121875393376147 0.0 0.77 2.2600780276857306
0.517986709990971 0.0 0.78 2.2675244103937913
0.5237531439417085 0.0 0.79 2.275102128355477
0.5294864509282246 0.0 0.8 2.282812653778283
0.5351862430180624 0.0 0.81 2.2906574836393734
0.5408521347049409 0.0 0.82 2.2986381399243294
0.5464837430307916 0.0 0.83 2.3067561696689998
0.5520806877332368 0.0 0.84 2.3150131448095723
0.5576425913456035 0.0 0.85 2.3234106624558586
0.5631690793290224 0.0 0.86 2.331950344908935
0.5686597802470098 0.0 0.87 2.3406338393478903
0.5741143258460353 0.0 0.88 2.3494628183149455
0.5795323512501969 0.0 0.89 2.358438979271465
0.5849134951061674 0.0 0.9 2.367564044586405
0.5902573996986362 0.0 0.91 2.3768397617757064
0.5955637111193673 0.0 0.92 2.386267903316295
0.6008320795394048 0.0 0.93 2.395850265653328
0.6060621591234682 0.0 0.94 2.4055886710837955
0.6112536085449064 0.0 0.95 2.4154849648482974
0.6164060909000981 0.0 0.96 2.425541017030585
0.6215192742147532 0.0 0.97 2.4357587197704897
0.6265928302116156 0.0 0.98 2.4461399981181016
0.6316264328136528 0.0 0.99 2.4566868226987983
0.0 0.014184397163120567 0.0 2.000080461343726
0.007070854862327371 0.014184397163120567 0.01 2.000120467891875
0.014141285422359241 0.014184397163120567 0.02 2.000240494949134
0.021210867374145344 0.014184397163120567 0.03 2.00044056474468
0.02827917640442517 0.014184397163120567 0.04 2.0007207143395305
0.03534578818904393 0.014184397163120567 0.05 2.001080995632538
0.042410278389404865 0.014184397163120567 0.06 2.001521475378465
0.04947222264903942 0.014184397163120567 0.07 2.002042235205597
0.05653119659024544 0.014184397163120567 0.08 2.0026433716422205
0.06358677581109928 0.014184397163120567 0.09 2.0033249961306097
0.07063853588192841 0.014184397163120567 0.1 2.004087235093356
0.07768605234317236 0.014184397163120567 0.11 2.004930229923318
0.08472890070201773 0.014184397163120567 0.12 2.0058541370689107
0.0917666564303425 0.014184397163120567 0.13 2.006859128056125
0.09879889496280223 0.014184397163120567 0.14 2.007945389529307
0.10582519169413782 0.014184397163120567 0.15 2.0091131233397928
0.11284512197844526 0.014184397163120567 0.16 2.0103625465668187
